,time,flux
0,1711.3649579591374,562.0682
1,1711.3663468488473,565.7848
2,1711.3677357385536,559.1349
3,1711.3691246282606,561.0488
4,1711.3705135179605,559.3615
5,1711.3719024076595,564.0777
6,1711.3732912973512,564.89136
7,1711.3746801870439,559.4193
8,1711.3760690767333,552.1256
9,1711.3774579664184,557.065
10,1711.3788468561029,562.12506
11,1711.3802357457807,565.2617
12,1711.3816246354586,554.44104
13,1711.3830135251287,564.99994
14,1711.3844024147986,559.58057
15,1711.3857913044656,561.6617
16,1711.387180194129,555.1448
17,1711.3885690837924,549.61145
18,1711.3899579734484,553.1847
19,1711.3913468631044,553.2285
20,1711.3927357527568,539.584
21,1711.3941246424051,554.0787
22,1711.3955135320496,542.31354
23,1711.396902421691,539.0585
24,1711.3982913113325,542.4526
25,1711.3996802009706,533.8762
26,1711.4010690906048,519.51874
27,1711.4024579802353,511.84073
28,1711.403846869866,503.82684
29,1711.4052357594887,473.56348
30,1711.4066246491113,427.49738
31,1711.408013538731,393.7968
32,1711.409402428347,382.634
33,1711.4107913179623,381.1465
34,1711.412180207575,361.53018
35,1711.4135690971807,359.81177
36,1711.4149579867894,364.96664
37,1711.4163468763902,352.43994
38,1711.417735765991,354.35895
39,1711.419124655589,358.52203
40,1711.4205135451832,356.4983
41,1711.421902434773,366.03387
42,1711.4232913243632,372.04153
43,1711.4246802139508,380.46713
44,1711.4260691035347,391.14825
45,1711.4274579931136,417.3795
46,1711.4288468826926,443.03787
47,1711.4302357722688,461.49112
48,1711.4316246618412,491.88254
49,1711.4330135514128,501.92715
50,1711.4344024409772,505.65176
51,1711.4357913305462,517.0727
52,1711.4371802201083,539.9238
53,1711.4385691096697,542.822
54,1711.4399579992269,541.6695
55,1711.441346888781,539.5051
56,1711.4427357783318,540.235
57,1711.4441246678816,536.5125
58,1711.4455135574278,547.58246
59,1711.446902446975,539.2357
60,1711.4482913365189,549.4287
61,1711.4496802260585,549.3462
62,1711.4510691155938,552.3861
63,1711.4524580051298,547.5711
64,1711.453846894662,545.17487
65,1711.4552357841903,536.66516
66,1711.4566246737184,533.5799
67,1711.4580135632434,540.6164
68,1711.4594024527687,551.4765
69,1711.4607913422865,543.51105
70,1711.4621802318043,541.478
71,1711.463569121322,551.2301
72,1711.4649580108362,545.03076
73,1711.4663469003463,541.8812
74,1711.4677357898524,537.8377
75,1711.4691246793593,532.37964
76,1711.4705135688625,532.9427
77,1711.471902458365,524.7824
78,1711.473291347865,527.8471
79,1711.4746802373616,522.8868
80,1711.4760691268575,521.2142
81,1711.4774580163494,518.72046
82,1711.4788469058374,515.06506
83,1711.480235795326,509.66373
84,1711.481624684811,513.29065
85,1711.4830135742955,502.6745
86,1711.484402463777,502.57483
87,1711.4857913532555,494.02072
88,1711.4871802427333,487.18573
89,1711.4885691322067,500.156
90,1711.4899580216802,496.92776
91,1711.491346911151,482.3552
92,1711.4927358006178,484.76218
93,1711.494124690084,477.7089
94,1711.4955135795467,471.5414
95,1711.496902469007,476.44885
96,1711.4982913584709,460.91537
97,1711.499680247926,459.39285
98,1711.5010691373814,447.32025
99,1711.502458026834,447.87933
100,1711.5038469162862,443.54724
101,1711.5052358057342,440.6712
102,1711.5066246951822,443.96317
103,1711.5080135846274,446.4786
104,1711.5094024740695,421.05798
105,1711.5107913635109,429.73755
